row_index,author_id,name,home_link,total_cost_usd,usage
70,xcD-PDIAAAAJ,Hayon Michelle Choi,https://sites.google.com/view/hchoi-lab,0.0009883,"""CompletionUsage(completion_tokens=63, prompt_tokens=4904, total_tokens=4967, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=4904, image_tokens=0), num_sources_used=0)"""
76,9VZ5iicAAAAJ,Hyunbin Jo,https://www.researchgate.net/profile/Hyunbin-Jo?ev=hdr_xprf,0.019197000000000002,"""CompletionUsage(completion_tokens=268, prompt_tokens=95435, total_tokens=95703, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=95435, image_tokens=0), num_sources_used=0)"""
83,i_zzio0AAAAJ,Seong Min Kang,https://sites.google.com/view/multiscale-convergence-technol/home,0.0008018,"""CompletionUsage(completion_tokens=52, prompt_tokens=3999, total_tokens=4051, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=3999, image_tokens=0), num_sources_used=0)"""
93,uL7zOrkAAAAJ,Haram J. Kim,https://haramjuliakim.wixsite.com/haram-j-1,0.0012538,"""CompletionUsage(completion_tokens=166, prompt_tokens=5974, total_tokens=6140, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=5974, image_tokens=0), num_sources_used=0)"""
94,700Jw98AAAAJ,Hokeun Cha,http://chahk0129.github.io/,0.0005289,"""CompletionUsage(completion_tokens=363, prompt_tokens=1857, total_tokens=2220, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=1857, image_tokens=0), num_sources_used=0)"""
98,4GAH3yIAAAAJ,Seong Je Park,https://sites.google.com/view/xam-gnu/home,0.00049165,"""CompletionUsage(completion_tokens=53, prompt_tokens=2991, total_tokens=3044, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=2991, image_tokens=0), num_sources_used=0)"""
101,W_Y5EF8AAAAJ,Soomok Lee,https://sites.google.com/site/cvsmlee/,0.000818,"""CompletionUsage(completion_tokens=44, prompt_tokens=4100, total_tokens=4144, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=4100, image_tokens=0), num_sources_used=0)"""
104,v-OxcFMAAAAJ,Usman Hanif,https://portal.findresearcher.sdu.dk/da/persons/muha,0.0019429000000000002,"""CompletionUsage(completion_tokens=137, prompt_tokens=9492, total_tokens=9629, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=9492, image_tokens=0), num_sources_used=0)"""
106,ZOkAGMcAAAAJ,Yoonjoo Choi,https://sites.google.com/view/immunoinformatics-lab,0.0005704,"""CompletionUsage(completion_tokens=44, prompt_tokens=2862, total_tokens=2906, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=2862, image_tokens=0), num_sources_used=0)"""
107,Dy5OnjAAAAAJ,Cui-Zu Chang,https://sites.psu.edu/changresearch/,0.0011127500000000002,"""CompletionUsage(completion_tokens=44, prompt_tokens=6119, total_tokens=6163, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=6119, image_tokens=0), num_sources_used=0)"""
108,1oqm0boAAAAJ,Nima Haghpanah,https://nimahaghpanah.com/,0.0004506,"""CompletionUsage(completion_tokens=88, prompt_tokens=2153, total_tokens=2241, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=2153, image_tokens=0), num_sources_used=0)"""
119,CKEW_s4AAAAJ,Daniel Park,https://www.vumc.org/dbmi/,0.0012102,"""CompletionUsage(completion_tokens=44, prompt_tokens=6061, total_tokens=6105, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=6061, image_tokens=0), num_sources_used=0)"""
120,rIjeeRsAAAAJ,Tom Hartvigsen,https://www.tomhartvigsen.com/,0.0019809500000000004,"""CompletionUsage(completion_tokens=454, prompt_tokens=9435, total_tokens=9889, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=9435, image_tokens=0), num_sources_used=0)"""
121,kHrn6WsAAAAJ,Walter Chang,https://research.adobe.com/person/walter-chang/,0.00021175,"""CompletionUsage(completion_tokens=44, prompt_tokens=1614, total_tokens=1658, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=1614, image_tokens=0), num_sources_used=0)"""
124,ifsIrYgAAAAJ,Christopher Harris,https://www.econ.cam.ac.uk/people/faculty/ChristopherHarris,0.00094775,"""CompletionUsage(completion_tokens=44, prompt_tokens=5294, total_tokens=5338, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=5294, image_tokens=0), num_sources_used=0)"""
125,HLydDWAAAAAJ,Jun Hong Park,https://bisl.gnu.ac.kr/,0.0008366,"""CompletionUsage(completion_tokens=50, prompt_tokens=4178, total_tokens=4228, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=4178, image_tokens=0), num_sources_used=0)"""
