author_id,author_names,affiliations
7qcAjNsAAAAJ,"Kenry, PhD","Assistant Professor of Pharmaceutical Sciences, University of Arizona"
OtdD85EAAAAJ,Wai Hoe Ng,Professor in Neurosurgery
i3wBJ1EAAAAJ,Kevin Tan,"National Neuroscience Institute, Singapore"
TsqRcDwAAAAJ,Xavier Golay,"Honorary Professor of MR Physics, University College London"
nmFSOaEAAAAJ,Chew Lim Tan,"Professor of Computer Science, National University of Singapore"
D2RPPBUAAAAJ,N Venketasubramanian,"Raffles Neuroscience Centre, Raffles Hospital"
K5kqK4IAAAAJ,Suyash Mohan,University of Pennsylvania
n9gpQ8YAAAAJ,Wai Yung Yu,
q_Bfxj8AAAAJ,Dennis LH Cheong,"Senior Research Fellow, Clinical Imaging Research Centre, NUS"
vVteJ3wAAAAJ,soke miang chng,
HUnDXRYAAAAJ,Lipo Wang,Nanyang Technological University
UOE6wHQAAAAJ,Jai Prashanth Rao,national neuroscience institute
jHq825kAAAAJ,Tong San Koh,
HJt0niEAAAAJ,Qi Tian,"Singapore Bioimaging Consortium (SBIC), A*STAR, Singapore"
GJXdZuwAAAAJ,Tze-Yun Leong,National University of Singapore
45lHR40AAAAJ,Tianxia Gong,"School of Computing, National University of Singapore, Singapore"
KmvmSYQAAAAJ,Jieru Ye,National Cancer Centre Singapore
HCOaMkUAAAAJ,Brenda SP Ang,"Tan Tock Seng Hospital,"
5Qzge1wAAAAJ,Terrence Thomas,"KK Women's and Children's Hospital, Singapore"
GWKHjd4AAAAJ,Adeline Ng,Senior Consultant Neurologist
4xKigwIAAAAJ,Zhuo Zhang,"Institute for Infocomm Research, A*STAR, Singapore"
8cxDHS4AAAAJ,Antonio Torralba,"Professor of Computer Science, MIT"
wkSqFSwAAAAJ,Unil Yun,Sejong University
pXhUE-sAAAAJ,Lkhagvadorj Munkhdalai,Empasoft Institute of Technology
__9GduEAAAAJ,Yongjun Piao,Nankai University
-fHyrYQAAAAJ,Tsendsuren Munkhdalai,"Research Scientist, Google DeepMind"
AqUoUCoAAAAJ,Kwang Ho Park,National Cancer Center
ggpgoEcAAAAJ,Oyun-Erdene Namsrai,Professor of National University of Mongolia
-aWuKmwAAAAJ,Cho Young Sung,"Chungbuk National University, Ph.D. of Engineering(Computer Science), engineering professor; chief"
9Ms5P8gAAAAJ,Heon Lee,Korea  University
leNSb6EAAAAJ,Chenghao Jin,"Beijing Electronics Holding Semiconductor Manufacturing Co.,Ltd."
U0fbHsoAAAAJ,Erdenebileg Batbaatar,Neouly
wkSqFSwAAAAJ,Unil Yun,Sejong University
pXhUE-sAAAAJ,Lkhagvadorj Munkhdalai,Empasoft Institute of Technology
__9GduEAAAAJ,Yongjun Piao,Nankai University
-fHyrYQAAAAJ,Tsendsuren Munkhdalai,"Research Scientist, Google DeepMind"
AqUoUCoAAAAJ,Kwang Ho Park,National Cancer Center
ggpgoEcAAAAJ,Oyun-Erdene Namsrai,Professor of National University of Mongolia
-aWuKmwAAAAJ,Cho Young Sung,"Chungbuk National University, Ph.D. of Engineering(Computer Science), engineering professor; chief"
9Ms5P8gAAAAJ,Heon Lee,Korea  University
leNSb6EAAAAJ,Chenghao Jin,"Beijing Electronics Holding Semiconductor Manufacturing Co.,Ltd."
U0fbHsoAAAAJ,Erdenebileg Batbaatar,Neouly
elJ5KrcAAAAJ,Woo Youn Kim,"Professor of Chemistry and Graduate School of Data Science, KAIST"
6ekxr3cAAAAJ,Jaechang Lim,HITS incorporation (hits.ai)
PElI4ikAAAAJ,Yongchan Kwon,Columbia University
VyVMbBMAAAAJ,Jaewook Kim,"Senior researcher, Korea Supercomputing Center, KISTI"
ZhfPDTAAAAAJ,Seung Hwan Hong,Novelism
HizmmwYAAAAJ,Sang-Yeon Hwang,"Researcher, HITS, South Korea"
X08l_4IAAAAJ,Dinesh Manocha,"Distinguished University Professor, University of Maryland at College Park"
VXyJ_ssAAAAJ,Jae-Pil Heo,"Assistant Professor, Department of Computer Science and Engineering, Sungkyunkwan University, Korea"
5aZuIAsAAAAJ,Bochang Moon,"Associate Professor, Gwangju Institute of Science and Technology"
W9jEYHMAAAAJ,Enrico Gobbetti,"Director of Visual and Data-intensive Computing, CRS4"
G_Q5X6UAAAAJ,Duksu Kim,"Associate Professor, KOREATECH (Korea University of Technology and Education)"
j2vMBDgAAAAJ,Dave Kasik,"Senior Technical Fellow, Boeing"
E1RM9OUAAAAJ,Min Tang,"College of Computer Science and Technology, Zhejiang University"
ZgLOSX8AAAAJ,Christian Lauterbach,Waymo
mGuSD6gAAAAJ,Peter Lindstrom,Lawrence Livermore National Laboratory
RP4Qx3QAAAAJ,Sung Ju Hwang,"KAIST, DeepAuto"
DN8QtscAAAAJ,Mohit Bansal,"Parker Distinguished Professor, Computer Science, UNC Chapel Hill"
UWO1mloAAAAJ,Eunho Yang,KAIST
0PC5-GEAAAAJ,Wonyong Jeong,KAIST
UqC5AoMAAAAJ,Shoubin Yu,PhD Candidate at UNC Chapel Hill
A20BZnQAAAAJ,Huaxiu Yao,"Assistant Professor of Computer Science and Data Science, UNC Chapel Hill"
v_tUj4oAAAAJ,Haeyong Kang,"KAIST, Deep.AI Inc."
8FWkjw8AAAAJ,Gedas Bertasius,"Assistant Professor, University of North Carolina at Chapel Hill"
IbQZoHQAAAAJ,Jaemin Cho,"Young Investigator at AI2, Incoming Assistant Professor at Johns Hopkins University"
DNk4dZkAAAAJ,Divyam Madaan,New York University
Z9s5gHEAAAAJ,Han Lin,"CS PhD Student, UNC"
JuIqLPYAAAAJ,Ziyang Wang,UNC Chapel Hill
aW2XnF0AAAAJ,Yi-Lin Sung,UNC Chapel Hill
vfPE6hgAAAAJ,Chelsea Finn,"Stanford University, Physical Intelligence"
nkmi-moAAAAJ,Zhun Deng,"Assistant Professor, Computer Science, UNC Chapel Hill"
6KltFMAAAAAJ,Yiyang Zhou,"Ph.D. Student,  UNC Chapel Hill CS"
KyI1vSgAAAAJ,Jialu Li,UNC Chapel Hill
U1FHaSUAAAAJ,Jinheon Baek,"Ph.D. student, KAIST"
TFGBA9cAAAAJ,Yunxin Liu,"IEEE Fellow, Guoqiang Professor, Institute for AI Industry Research (AIR), Tsinghua University"
Vrt78QMAAAAJ,Daeun Lee,PhD Student at UNC Chapel Hill
3DSA90AAAAAJ,Sungwoong Kim,"Associate Professor, Korea University"
OZZJagIAAAAJ,Kyungjae Lee,Korea University
T3-0OQ8AAAAJ,Sungjoon Choi,Korea University
nzOsNBsAAAAJ,Ildoo Kim,Open Research
nimFSSEAAAAJ,Chiheon Kim,Research Scientist
7V7yNeoAAAAJ,Taesup Kim,"Assistant Professor, Seoul National University"
VEzNY_oAAAAJ,Songhwai Oh,"Department of Electrical and Computer Engineering, Seoul National University, Korea"
cHBGSE0AAAAJ,Hanbum Ko,Korea University
Pl95pGIAAAAJ,Hyungjoo Cho,Seoul National University
METPtcAAAAAJ,Hyun-seok Min,Tomocube
W4oOmZEAAAAJ,Hyokun Yun,Machine Learning Scientist at Amazon
aVfQYSsAAAAJ,Taehyun Yoon,UNIST
gQOKAggAAAAJ,Tomas Lozano-Perez,"Professor of Computer Science, MIT"
IcasIiwAAAAJ,Leslie Kaelbling,
dw3rEwgAAAAJ,Beomjoon Kim,Korea Advanced Institute of Science & Technology (KAIST)
m2rhgrkAAAAJ,SungYub Kim,Korea Advanced Institute of Science and Technology (KAIST)
HFiBSkgAAAAJ,Changhyun Kwon,"Department of Industrial and Systems Engineering, KAIST"
jxqygTgAAAAJ,Aigerim Bogyrbayeva,
t0uU3jAAAAAJ,Sanghoon Hong,Cinamon
kBsTE7AAAAAJ,Yong-Lae Park,"Professor of Mechanical Engineering, Seoul National University"
Bphl_fIAAAAJ,Sungroh Yoon,"Professor, Electrical and Computer Engineering & Artificial Intelligence, Seoul National University"
bkEwkiMAAAAJ,Ho Bae,Ewha Womans University
CJ8-pGIAAAAJ,Uiwon Hwang,"Assistant Professor, Computer Science and Engineering, Ewha Womans University"
GPi5hw4AAAAJ,Jonghyun Lee,"KRAFTON AI | PhD, SNU"
OCzDMR4AAAAJ,Hyemi Jang,Seoul National University
PTo1stcAAAAJ,Junsung Park,Seoul National University
QHlTiUwAAAAJ,Sangha Park,Seoul National University
nS24h74AAAAJ,Saehyung Lee,Microsoft
2dZmIYoAAAAJ,Hyun-Soo Choi,Seoul National University of Science and Technology
_Lv-s58AAAAJ,"Hyungyu, Lee",Seoul National University
gvq-Ni4AAAAJ,Jaehee Jang,Seoul National University
nShf6cgAAAAJ,Eunji Kim,Seoul National Univ.
xMRzdH0AAAAJ,Siwon Kim,Amazon AGI
6qTcgH0AAAAJ,Jungbeom Lee,Korea University
LeF2vTkAAAAJ,Jaihyun Lew,Seoul National University
9EIn52wAAAAJ,Jooyoung Choi,Seoul National University
molKYzwAAAAJ,Jihwan Bang,"AI/ML Researcher, Qualcomm AI Research"
jcP7m1QAAAAJ,Dongyoon Han,NAVER AI Lab
Ijzuc-8AAAAJ,Hwanjun Song,"Assistant Professor, KAIST"
LZP5k2cAAAAJ,Jisoo Mok,Daegu Gyeongbuk Institute of Science and Technology
dWKk68wAAAAJ,Seonwoo Min,"Applied Scientist, Amazon"
OdLQTz4AAAAJ,Byunghan Lee,Seoul National University of Science and Technology
nShf6cgAAAAJ,Eunji Kim,Seoul National Univ.
9EIn52wAAAAJ,Jooyoung Choi,Seoul National University
CJ8-pGIAAAAJ,Uiwon Hwang,"Assistant Professor, Computer Science and Engineering, Ewha Womans University"
wleS-UQAAAAJ,Dahuin Jung,"Assistant Professor, Computer Science and Engineering, Soongsil University"
6qTcgH0AAAAJ,Jungbeom Lee,Korea University
2dZmIYoAAAAJ,Hyun-Soo Choi,Seoul National University of Science and Technology
6qGppvkAAAAJ,Sungwon Kim,NVIDIA
j8qTMtoAAAAJ,Seongsik Park,Korea Institute of Science and Technology
xMRzdH0AAAAJ,Siwon Kim,Amazon AGI
jzzqxVIAAAAJ,Jihun Yi,Samsung Electronics
M8RX0MEAAAAJ,Chaehun Shin,Seoul National University
t8dVNNsAAAAJ,Byunggook Na,Samsung Advanced Institute of Technology
bkEwkiMAAAAJ,Ho Bae,Ewha Womans University
ovimNFsAAAAJ,Seijoon Kim,Samsung Advanced Institute of Technology
iowjmTwAAAAJ,Seunghyun Park,Soongsil University
4ojbJpoAAAAJ,Heeseung Kim,Seoul National University
8P9jE1cAAAAJ,Hanjoo Kim,Gauss Labs Inc.
LZP5k2cAAAAJ,Jisoo Mok,Daegu Gyeongbuk Institute of Science and Technology
dWKk68wAAAAJ,Seonwoo Min,"Applied Scientist, Amazon"
OdLQTz4AAAAJ,Byunghan Lee,Seoul National University of Science and Technology
nShf6cgAAAAJ,Eunji Kim,Seoul National Univ.
9EIn52wAAAAJ,Jooyoung Choi,Seoul National University
