name,author_id,snippet,link,source
Meen Jong Kim,wOmEsBkAAAAJ,"Department of Industrial Engineering, Yonsei University - ‪‪Cited by 57‬‬ - ‪Human Computer Interaction‬ - ‪Driver Safety‬ - ‪User Experience‬",https://scholar.google.com/citations?user=wOmEsBkAAAAJ&hl=en,Google Scholar
Elmurod Talipov,AURRRDIAAAAJ,"Ph.D. in Computer Science, Yonsei University - ‪‪Cited by 909‬‬ - ‪Mobile Computing‬ - ‪Embedded Systems‬ - ‪Machine Learning‬",https://scholar.google.com/citations?user=AURRRDIAAAAJ&hl=en,Google Scholar
Donghyun Kim - Google 학술 검색,u9bQ6acAAAAJ,"Yonsei University - ‪‪인용 횟수 293번‬‬ - ‪3D Vision‬ - ‪3D Point Cloud‬ ... D Kim, S Kang, SJ Hwang. Proceedings of the Computer Vision and Pattern Recognition ...",https://scholar.google.com/citations?user=u9bQ6acAAAAJ&hl=ko,Google Scholar
Inpyo Hong - Google 학술 검색,CUZsTL4AAAAJ,Yonsei University - ‪‪인용 횟수 50번‬‬ - ‪Deep Learning‬ - ‪Computer Vision‬ - ‪On-device AI‬,https://scholar.google.com/citations?user=CUZsTL4AAAAJ&hl=ko,Google Scholar
In Cho - Google 학술 검색,J8utDckAAAAJ,Yonsei University - ‪‪인용 횟수 69번‬‬ - ‪Computer Science‬ - ‪Computer Vision‬,https://scholar.google.com/citations?user=J8utDckAAAAJ&hl=ko,Google Scholar
Hanjung Kim - Google 학술 검색,-c22oFIAAAAJ,Yonsei University - ‪‪인용 횟수 109번‬‬ - ‪Robotics‬ - ‪Computer Vision‬,https://scholar.google.com/citations?user=-c22oFIAAAAJ&hl=ko,Google Scholar
Youngjung Uh,dTKRUVoAAAAJ,Yonsei University - ‪‪Cited by 5305‬‬ - ‪Generative models‬ ... jaeseok jeonggraduate student at yonsei universityVerified email at yonsei.ac.kr.,https://scholar.google.com/citations?user=dTKRUVoAAAAJ&hl=en,Google Scholar
Eungbean Lee,kMxbiN0AAAAJ,Yonsei University - ‪‪Cited by 81‬‬ - ‪Computer Vision‬ - ‪Generative‬ - ‪Diffusion Models‬ - ‪Multi-Modal‬ ... Verified email at yonsei.ac.kr - Homepage.,https://scholar.google.com/citations?user=kMxbiN0AAAAJ&hl=en,Google Scholar
Mingi Kwon - Google 학술 검색,W8vK8BwAAAAJ,Yonsei University - ‪‪인용 횟수 643번‬‬ - ‪Diffusion models‬ - ‪Generative models‬ - ‪GANs‬ ... jaeseok jeonggraduate student at yonsei universityyonsei.ac.kr의 ...,https://scholar.google.com/citations?user=W8vK8BwAAAAJ&hl=ko,Google Scholar
Dongjae Jeon - Google 학술 검색,SaaN_bAAAAAJ,... Generative models. ... 공동 저자. Albert NoAssociate Professor of Department of Artificial Intelligence at Yonsei Universityyonsei.ac.kr의 이메일 확인됨.,https://scholar.google.com/citations?user=SaaN_bAAAAAJ&hl=ko,Google Scholar
Hyun Kang,lZ7oNC8AAAAJ,Yonsei University - ‪‪Cited by 18‬‬ - ‪3d vision‬ - ‪generative model‬ ... Verified email at yonsei.ac.kr - Homepage · 3d visiongenerative model. Articles ...,https://scholar.google.com/citations?user=lZ7oNC8AAAAJ&hl=en,Google Scholar
