name,author_id,snippet,link,source
Jinju Kim - Google 학술 검색,AwYr_FMAAAAJ,Carnegie Mellon University (Visiting) - ‪‪인용 횟수 2번‬‬ - ‪Speech‬ - ‪Natural Language Processing‬ - ‪Linguistics‬ - ‪AI‬,https://scholar.google.com/citations?user=AwYr_FMAAAAJ&hl=ko,Google Scholar
Taejun Kim - Google 학술 검색,k8p4WdoAAAAJ,Taejun Kim. KAIST & CMU. andrew.cmu.edu의 이메일 확인됨 - 홈페이지 · Applied Machine LearningXRSensingGaze AnalysisUX. 학술자료인용공동 저자. 제목. 정렬.,https://scholar.google.com/citations?user=k8p4WdoAAAAJ&hl=ko,Google Scholar
Minkyung Kim,JUa9JVoAAAAJ,Minkyung Kim. Carnegie Mellon University - Tepper School of Business. Verified email at cmu.edu - Homepage · Quantitative MarketingEmpirical ...,https://scholar.google.com/citations?user=JUa9JVoAAAAJ&hl=en,Google Scholar
Joon Sik Kim,H5EeUmgAAAAJ,Joon Sik Kim. ML Research @ DynamoAI; PhD @ CMU. Verified email at alumni.cmu.edu - Homepage · Machine LearningArtificial Intelligence. Articles ...,https://scholar.google.com/citations?user=H5EeUmgAAAAJ&hl=en,Google Scholar
Hoeseong Kim,qPcfUzgAAAAJ,Hoeseong Kim. Carnegie Mellon University. Verified email at andrew.cmu.edu. Deep LearningComputer VisionNatural Language Processing. ArticlesCited ...,https://scholar.google.com/citations?user=qPcfUzgAAAAJ&hl=en,Google Scholar
Taeyoun Kim,tri6OloAAAAJ,Taeyoun Kim. Carnegie Mellon University. Verified email at andrew.cmu.edu - Homepage · Machine LearningReasoningLLM SafetyRobustnessAlignment.,https://scholar.google.com/citations?user=tri6OloAAAAJ&hl=en,Google Scholar
Hobin Kim,6XcvDoIAAAAJ,Hobin Kim. Carnegie Mellon University. Verified email at andrew.cmu.edu. computer security. ArticlesCited by. Title. Sort. Sort by citationsSort by year ...,https://scholar.google.com/citations?user=6XcvDoIAAAAJ&hl=en,Google Scholar
Eungyeup Kim - Google 학술 검색,RtxkcwYAAAAJ,Carnegie Mellon University - ‪‪인용 횟수 764번‬‬ - ‪robust machine learning‬ - ‪distribution shifts‬ - ‪foundation models‬,https://scholar.google.com/citations?user=RtxkcwYAAAAJ&hl=ko,Google Scholar
Young Min Kim,Wfvp5doAAAAJ,Carnegie Mellon University - ‪‪Cited by 40‬‬ - ‪Machine Learning‬ - ‪Natural Language Processing‬ - ‪Computational Linguistics‬,https://scholar.google.com/citations?user=Wfvp5doAAAAJ&hl=en,Google Scholar
Chunghwan Kim,cedC3kAAAAAJ,Chunghwan Kim. Carneige Mellon University. Verified email at andrew.cmu.edu. NeuroscienceBiohybrid roboticsBiomaterialCavitationBubble dynamics.,https://scholar.google.com/citations?user=cedC3kAAAAAJ&hl=en,Google Scholar
