name,author_id,snippet,link,source
In Song Kim,USUWxocAAAAJ,"Associate Professor of Political Science, Massachusetts Institute of Technology - ‪‪Cited by 3961‬‬ - ‪international political economy‬ - ‪political‬ ...",https://scholar.google.com/citations?user=USUWxocAAAAJ&hl=en,Google Scholar
Byungchul Kim - Google 학술 검색,KPQ53S0AAAAJ,"Computer Science and Artificial Intelligence Lab (CSAIL), MIT - ‪‪인용 횟수 176번‬‬ - ‪Soft robot‬ - ‪Wearable robot‬ - ‪Tendon-driven actuator‬ - ‪assist‬ ...",https://scholar.google.com/citations?user=KPQ53S0AAAAJ&hl=ko,Google Scholar
Yoonho Kim,OnPzbacAAAAJ,"Yoonho Kim, Massachusetts Institute of Technology, Department of Mechanical Engineering, Verified email at mit.edu - Homepage",https://scholar.google.com/citations?user=OnPzbacAAAAJ&hl=en,Google Scholar
Lohyun Kim - Google 학술 검색,TkaUAQIAAAAJ,Massachusetts Institute of Technology - ‪‪인용 횟수 62번‬‬ - ‪nano materials‬ - ‪nanoengineering‬ - ‪membrane separations‬ - ‪energy‬,https://scholar.google.com/citations?user=TkaUAQIAAAAJ&hl=ko,Google Scholar
Seonggon Kim - Google 학술 검색,H4TY4VYAAAAJ,Seonggon Kim. Massachusetts Institute of Technology. mit.edu의 이메일 확인됨. Passive coolingActive coolingCO2 capture. 학술자료인용공동 저자. 제목.,https://scholar.google.com/citations?user=H4TY4VYAAAAJ&hl=ko,Google Scholar
So Yeon Kim - Google 학술 검색,IDG5H5kAAAAJ,"So Yeon Kim. Department of Materials Science and Engineering, MIT, USA. mit.edu의 이메일 확인됨. 학술자료인용공개 액세스. 제목. 정렬. 서지정보순 정렬 ...",https://scholar.google.com/citations?user=IDG5H5kAAAAJ&hl=ko,Google Scholar
Jekyung Kim,QsqnyFQAAAAJ,Jekyung Kim. Massachusetts Institute of Technology. Verified email at mit.edu. electronicsremote epitaxyIII-N2DM3D. ArticlesCited byPublic access ...,https://scholar.google.com/citations?user=QsqnyFQAAAAJ&hl=en,Google Scholar
Seungnyun Kim - Google 학술 검색,8sFFQHYAAAAJ,Massachusetts Institute of Technology - ‪‪인용 횟수 1096번‬‬ - ‪Wireless communications‬ - ‪Satellite Communications‬ - ‪Optimization‬ - ‪Machine learning‬,https://scholar.google.com/citations?user=8sFFQHYAAAAJ&hl=ko,Google Scholar
Sangwoon Kim,qkaOHLoAAAAJ,Toyota Research Institute - ‪‪Cited by 443‬‬ - ‪Robotics‬ - ‪Robot Manipulation‬ - ‪Robot Perception‬ - ‪Reinforcement Learning‬ - ‪Tactile Sensing‬,https://scholar.google.com/citations?user=qkaOHLoAAAAJ&hl=en,Google Scholar
Chiheon Kim,nimFSSEAAAAJ,Research Scientist - ‪‪Cited by 2043‬‬ - ‪Generative Models‬ - ‪Machine Learning‬ - ‪Combinatorial Optimization‬ - ‪Discrete Math‬,https://scholar.google.com/citations?user=nimFSSEAAAAJ&hl=en,Google Scholar
Kyungtae Kim - Google 학술 검색,1x3HkNIAAAAJ,Kyungtae Kim. Massachusetts Institute of Technology. mit.edu의 이메일 확인됨. Block copolymerMicelleColloidal assemblyNanocomposite. 학술자료인용 ...,https://scholar.google.com/citations?user=1x3HkNIAAAAJ&hl=ko,Google Scholar
Gyunghun Kim,trnpQksAAAAJ,Gyunghun Kim. MIT EECS. Verified email at mit.edu. ArticlesCited byPublic access. Title. Sort. Sort by citationsSort by yearSort by title. Cited by.,https://scholar.google.com/citations?user=trnpQksAAAAJ&hl=en,Google Scholar
Yurim Kim - Google 학술 검색,66OKDcgAAAAJ,Yurim Kim. Massachusetts Institute of Technology. mit.edu의 이메일 확인됨. Process systems engineering. 학술자료인용공동 저자. 제목. 정렬. 서지정보순 ...,https://scholar.google.com/citations?user=66OKDcgAAAAJ&hl=ko,Google Scholar
Yunjo Kim,1RSjEIoAAAAJ,"Yunjo Kim. Graduate Student, MIT. Verified email at mit.edu. van der waals epitaxysemiconductors. ArticlesCited byPublic access. Title. Sort. Sort by ...",https://scholar.google.com/citations?user=1RSjEIoAAAAJ&hl=en,Google Scholar
