name,author_id,snippet,link,source
Jungseul Ok - Google 학술 검색,KWG3UUMAAAAJ,"Associate Professor, CSE/AI, POSTECH. postech.ac.kr의 이메일 확인됨 - 홈페이지 · Reinforcement LearningMachine Learning. 학술자료인용공개 액세스공동 저자. 제목.",https://scholar.google.com/citations?user=KWG3UUMAAAAJ&hl=ko,Google Scholar
Sangwoo Mo - Google 학술 검색,Sq9y3NMAAAAJ,"Assistant Professor, POSTECH - ‪‪인용 횟수 2749번‬‬ - ‪Artificial Intelligence‬ - ‪Deep Learning‬ - ‪Multimodal Models‬ ... postech.ac.kr의 이메일 확인됨 ...",https://scholar.google.com/citations?user=Sq9y3NMAAAAJ&hl=ko,Google Scholar
Joohoon Kim - Google 학술 검색,tRNVtewAAAAJ,Pohang University of Science and Technology(POSTECH) - ‪‪인용 횟수 4365번‬‬ - ‪Nanophotonics‬ - ‪Optical Computing‬ - ‪Nanomanufacturing‬,https://scholar.google.com/citations?user=tRNVtewAAAAJ&hl=ko,Google Scholar
Hyunmyung Oh - Google 학술 검색,bnRSWlsAAAAJ,Pohang University of Science and Technology - ‪‪인용 횟수 97번‬‬ - ‪Deep Learning‬ - ‪VLSI‬ - ‪In-Memory Computing‬ ... postech.ac.kr의 이메일 확인됨. Deep ...,https://scholar.google.com/citations?user=bnRSWlsAAAAJ&hl=ko,Google Scholar
Sangdon Park,Vi2E2F4AAAAJ,POSTECH GSAI/CSE - ‪‪Cited by 638‬‬ - ‪AI Alignment‬ - ‪Trustworthy AI‬ - ‪Machine Learning‬ - ‪Computer Security‬ - ‪Cyber-Physical Systems‬,https://scholar.google.com/citations?user=Vi2E2F4AAAAJ&hl=en,Google Scholar
Yongjeong Oh,ZjFqe_cAAAAJ,"Yongjune KimAssociate Professor of Electrical Engineering, POSTECHVerified email at postech.ac.kr ... Deep Learning-Based Modulation and Power Control: A BER ...",https://scholar.google.com/citations?user=ZjFqe_cAAAAJ&hl=en,Google Scholar
Seungwook Kim,kZ4AN54AAAAJ,"PhD Candidate, POSTECH (Pohang University of Science and Technology) / Research Intern @ Bytedance. Verified email at postech.ac.kr - Homepage Computer Vision",https://scholar.google.com/citations?user=kZ4AN54AAAAJ&hl=en,Google Scholar
Jeany Son - Google 학술 검색,JVliNv8AAAAJ,POSTECH - ‪‪인용 횟수 1413번‬‬ - ‪Computer vision‬ - ‪Deep Learning‬ ... POSTECHpostech.ac.kr의 이메일 확인됨. Dina KatabiThuan and Nicole ...,https://scholar.google.com/citations?user=JVliNv8AAAAJ&hl=ko,Google Scholar
Wonjin Lee - Google 학술 검색,zqCPrE4AAAAJ,Deep learning–based metal artifact reduction with masked mean squared error loss function in simulation CT for radiation therapy for head and neck cancer.,https://scholar.google.com/citations?user=zqCPrE4AAAAJ&hl=ko,Google Scholar
Soongjin Kim - Google 학술 검색,uEKnzT4AAAAJ,"공동 저자. Seungyong LeePOSTECHpostech.ac.kr의 이메일 확인 ... Deep Cost Ray Fusion for Sparse Depth Video Completion. J Kim, S Kim, J Park ...",https://scholar.google.com/citations?user=uEKnzT4AAAAJ&hl=ko,Google Scholar
Joohoon Kim - Google 학술 검색,tRNVtewAAAAJ,Pohang University of Science and Technology(POSTECH) - ‪‪인용 횟수 4365번‬‬ - ‪Nanophotonics‬ - ‪Optical Computing‬ - ‪Nanomanufacturing‬,https://scholar.google.com/citations?user=tRNVtewAAAAJ&hl=ko,Google Scholar
Seungwook Kim,kZ4AN54AAAAJ,"PhD Candidate, POSTECH (Pohang University of Science and Technology) / Research Intern @ Bytedance. Verified email at postech.ac.kr - Homepage Computer Vision",https://scholar.google.com/citations?user=kZ4AN54AAAAJ&hl=en,Google Scholar
