name,author_id,snippet,link,source
SeongYeub Chu,IQ99e9cAAAAJ,Year · A study of using task-based artificial intelligence (AI) chatbot for further interaction in English and the analysis of students' production.,https://scholar.google.com/citations?user=IQ99e9cAAAAJ&hl=en,Google Scholar
Baekrok Shin,b4lF3cEAAAAJ,KAIST AI - ‪‪Cited by 14‬‬ - ‪Deep Learning Theory‬ - ‪Deep Learning‬,https://scholar.google.com/citations?user=b4lF3cEAAAAJ&hl=en,Google Scholar
Chulhee Yun,Ukl64ggAAAAJ,"Ewon Assistant Professor, KAIST Kim Jaechul Graduate School of AI - ‪‪Cited by 2192‬‬ - ‪Optimization‬ - ‪Deep Learning Theory‬ - ‪Machine Learning Theory‬",https://scholar.google.com/citations?user=Ukl64ggAAAAJ&hl=en,Google Scholar
Junmo Kim,GdQtWNQAAAAJ,"School of Electrical Engineering, KAIST - ‪‪Cited by 12269‬‬ ... Deep Saliency With Encoded Low Level Distance Map and High Level Features. G ...",https://scholar.google.com/citations?user=GdQtWNQAAAAJ&hl=en,Google Scholar
Haeil Lee,5YW0GjIAAAAJ,"Electrical Engineering, KAIST - ‪‪Cited by 178‬‬ - ‪Computer Vision‬ - ‪Deep Learning‬",https://scholar.google.com/citations?user=5YW0GjIAAAAJ&hl=en,Google Scholar
Hyunki Seong - Google 학술 검색,DTNeW6kAAAAJ,PhD Candidate @ KAIST - ‪‪인용 횟수 212번‬‬ - ‪Robot Learning‬ - ‪Robotics‬ - ‪AI‬ - ‪Autonomous Driving‬,https://scholar.google.com/citations?user=DTNeW6kAAAAJ&hl=ko,Google Scholar
Minjeong Ju - Google 학술 검색,QNGnAHMAAAAJ,Korea Advanced Institute of Science and Technology (KAIST) - ‪‪인용 횟수 33번‬‬ - ‪Machine Learning‬ - ‪Deep Learning‬ - ‪Artificial Intelligence‬ - ‪Computer‬,https://scholar.google.com/citations?user=QNGnAHMAAAAJ&hl=ko,Google Scholar
Jae Young Lee,f6VnfxcAAAAJ,... KAISTVerified email at kaist.ac.kr ... 2022. Multi-scale foreground-background separation for light field depth estimation with deep convolutional networks.,https://scholar.google.com/citations?user=f6VnfxcAAAAJ&hl=en,Google Scholar
Jihoon Ko - Google 학술 검색,_m0bPIQAAAAJ,"Noseong ParkTenured Associate Professor, KAISTkaist.ac.kr의 이메일 확인됨 ... Deep learning model for heavy rainfall nowcasting in South Korea.",https://scholar.google.com/citations?user=_m0bPIQAAAAJ&hl=ko,Google Scholar
Steven Euijong Whang,w6hts30AAAAJ,Associate Professor with Tenure at KAIST EE and AI - ‪‪Cited by 8060‬‬ - ‪Big Data‬ - ‪AI‬ - ‪Responsible AI‬ - ‪Data-centric AI‬ - ‪Data Science‬,https://scholar.google.com/citations?user=w6hts30AAAAJ&hl=en,Google Scholar
